date,mei_value
1979-01-01,2026.0
1979-01-01,0.46
1979-02-01,0.29
1979-03-01,-0.05
1979-04-01,0.22
1979-05-01,0.27
1979-06-01,-0.11
1979-07-01,-0.1
1979-08-01,0.47
1979-09-01,0.38
1979-10-01,0.23
1979-11-01,0.53
1979-12-01,0.63
1980-01-01,0.33
1980-02-01,0.21
1980-03-01,0.39
1980-04-01,0.5
1980-05-01,0.45
1980-06-01,0.55
1980-07-01,0.47
1980-08-01,0.03
1980-09-01,0.12
1980-10-01,0.03
1980-11-01,-0.08
1980-12-01,-0.12
1981-01-01,-0.35
1981-02-01,-0.23
1981-03-01,0.33
1981-04-01,0.42
1981-05-01,-0.24
1981-06-01,-0.69
1981-07-01,-0.6
1981-08-01,-0.33
1981-09-01,-0.06
1981-10-01,-0.16
1981-11-01,-0.27
1981-12-01,-0.2
1982-01-01,-0.43
1982-02-01,-0.5
1982-03-01,-0.28
1982-04-01,-0.37
1982-05-01,-0.11
1982-06-01,0.63
1982-07-01,1.65
1982-08-01,1.91
1982-09-01,1.68
1982-10-01,1.77
1982-11-01,2.13
1982-12-01,2.36
1983-01-01,2.47
1983-02-01,2.66
1983-03-01,2.6
1983-04-01,2.75
1983-05-01,2.85
1983-06-01,1.96
1983-07-01,0.63
1983-08-01,-0.17
1983-09-01,-0.5
1983-10-01,-0.53
1983-11-01,-0.47
1983-12-01,-0.5
1984-01-01,-0.55
1984-02-01,-0.56
1984-03-01,-0.17
1984-04-01,0.06
1984-05-01,-0.46
1984-06-01,-0.69
1984-07-01,-0.35
1984-08-01,-0.19
1984-09-01,-0.14
1984-10-01,-0.19
1984-11-01,-0.58
1984-12-01,-0.29
1985-01-01,-0.26
1985-02-01,-0.58
1985-03-01,-0.6
1985-04-01,-0.77
1985-05-01,-1.23
1985-06-01,-0.67
1985-07-01,-0.1
1985-08-01,-0.49
1985-09-01,-0.56
1985-10-01,-0.08
1985-11-01,-0.06
1985-12-01,-0.42
1986-01-01,-0.4
1986-02-01,-0.34
1986-03-01,-0.39
1986-04-01,-0.53
1986-05-01,-0.26
1986-06-01,0.02
1986-07-01,0.41
1986-08-01,0.97
1986-09-01,1.29
1986-10-01,0.56
1986-11-01,0.64
1986-12-01,1.06
1987-01-01,1.03
1987-02-01,1.16
1987-03-01,1.57
1987-04-01,1.75
1987-05-01,1.97
1987-06-01,2.07
1987-07-01,1.88
1987-08-01,1.46
1987-09-01,1.26
1987-10-01,1.18
1987-11-01,0.91
1987-12-01,0.79
1988-01-01,0.63
1988-02-01,0.33
1988-03-01,0.17
1988-04-01,-0.01
1988-05-01,-0.39
1988-06-01,-1.18
1988-07-01,-1.77
1988-08-01,-1.81
1988-09-01,-1.81
1988-10-01,-1.6
1988-11-01,-1.71
1988-12-01,-1.55
1989-01-01,-1.12
1989-02-01,-1.1
1989-03-01,-1.24
1989-04-01,-1.09
1989-05-01,-1.03
1989-06-01,-1.0
1989-07-01,-1.08
1989-08-01,-0.66
1989-09-01,-0.53
1989-10-01,-0.49
1989-11-01,-0.36
1989-12-01,-0.07
1990-01-01,0.13
1990-02-01,0.45
1990-03-01,0.61
1990-04-01,0.17
1990-05-01,0.08
1990-06-01,0.04
1990-07-01,0.13
1990-08-01,0.02
1990-09-01,0.23
1990-10-01,-0.06
1990-11-01,0.12
1990-12-01,0.31
1991-01-01,0.19
1991-02-01,0.09
1991-03-01,0.21
1991-04-01,0.2
1991-05-01,0.36
1991-06-01,0.97
1991-07-01,0.91
1991-08-01,0.37
1991-09-01,0.53
1991-10-01,0.97
1991-11-01,1.04
1991-12-01,1.23
1992-01-01,1.68
1992-02-01,1.59
1992-03-01,1.72
1992-04-01,1.98
1992-05-01,1.68
1992-06-01,1.51
1992-07-01,0.61
1992-08-01,-0.02
1992-09-01,0.4
1992-10-01,0.67
1992-11-01,0.62
1992-12-01,0.73
1993-01-01,0.79
1993-02-01,0.9
1993-03-01,0.77
1993-04-01,0.99
1993-05-01,1.48
1993-06-01,1.52
1993-07-01,0.9
1993-08-01,0.6
1993-09-01,0.61
1993-10-01,0.96
1993-11-01,0.71
1993-12-01,0.27
1994-01-01,-0.01
1994-02-01,-0.21
1994-03-01,-0.22
1994-04-01,0.02
1994-05-01,-0.02
1994-06-01,0.26
1994-07-01,0.96
1994-08-01,0.88
1994-09-01,1.1
1994-10-01,1.52
1994-11-01,1.01
1994-12-01,0.92
1995-01-01,0.83
1995-02-01,0.54
1995-03-01,0.18
1995-04-01,0.14
1995-05-01,0.14
1995-06-01,0.02
1995-07-01,-0.28
1995-08-01,-0.71
1995-09-01,-0.94
1995-10-01,-0.74
1995-11-01,-0.77
1995-12-01,-0.9
1996-01-01,-0.85
1996-02-01,-0.8
1996-03-01,-0.66
1996-04-01,-0.76
1996-05-01,-0.85
1996-06-01,-0.91
1996-07-01,-0.83
1996-08-01,-0.64
1996-09-01,-0.32
1996-10-01,-0.37
1996-11-01,-0.34
1996-12-01,-0.47
1997-01-01,-0.65
1997-02-01,-0.71
1997-03-01,-0.3
1997-04-01,0.15
1997-05-01,0.71
1997-06-01,2.34
1997-07-01,2.27
1997-08-01,2.27
1997-09-01,2.2
1997-10-01,2.06
1997-11-01,2.14
1997-12-01,2.11
1998-01-01,2.29
1998-02-01,2.45
1998-03-01,2.28
1998-04-01,2.61
1998-05-01,2.32
1998-06-01,0.41
1998-07-01,-1.54
1998-08-01,-1.82
1998-09-01,-1.4
1998-10-01,-1.29
1998-11-01,-1.34
1998-12-01,-1.29
1999-01-01,-1.28
1999-02-01,-1.2
1999-03-01,-1.15
1999-04-01,-1.17
1999-05-01,-1.34
1999-06-01,-1.26
1999-07-01,-1.17
1999-08-01,-1.03
1999-09-01,-1.15
1999-10-01,-1.33
1999-11-01,-1.33
1999-12-01,-1.43
2000-01-01,-1.25
2000-02-01,-1.26
2000-03-01,-1.37
2000-04-01,-0.9
2000-05-01,-0.94
2000-06-01,-1.18
2000-07-01,-0.61
2000-08-01,-0.08
2000-09-01,-0.36
2000-10-01,-0.52
2000-11-01,-0.86
2000-12-01,-0.79
2001-01-01,-0.84
2001-02-01,-0.86
2001-03-01,-0.78
2001-04-01,-0.55
2001-05-01,-0.52
2001-06-01,-0.73
2001-07-01,0.03
2001-08-01,0.38
2001-09-01,-0.06
2001-10-01,-0.23
2001-11-01,-0.28
2001-12-01,0.06
2002-01-01,0.09
2002-02-01,-0.26
2002-03-01,-0.2
2002-04-01,-0.36
2002-05-01,-0.14
2002-06-01,0.34
2002-07-01,0.43
2002-08-01,1.01
2002-09-01,0.88
2002-10-01,0.84
2002-11-01,0.84
2002-12-01,0.91
2003-01-01,0.82
2003-02-01,0.63
2003-03-01,0.53
2003-04-01,-0.11
2003-05-01,-0.61
2003-06-01,-0.1
2003-07-01,0.01
2003-08-01,0.05
2003-09-01,0.18
2003-10-01,0.28
2003-11-01,0.3
2003-12-01,0.14
2004-01-01,0.19
2004-02-01,-0.04
2004-03-01,-0.43
2004-04-01,-0.23
2004-05-01,-0.46
2004-06-01,-0.38
2004-07-01,0.46
2004-08-01,0.76
2004-09-01,0.58
2004-10-01,0.4
2004-11-01,0.56
2004-12-01,0.48
2005-01-01,0.09
2005-02-01,0.61
2005-03-01,0.83
2005-04-01,0.14
2005-05-01,0.19
2005-06-01,0.21
2005-07-01,-0.0
